Country (or area),Subregion,Region,Total wealth (USD bn)
"United States *","Northern America","Americas","139,866"
"China *","Eastern Asia","Asia","84,485"
"Japan *","Eastern Asia","Asia","22,582"
"Germany *","Western Europe","Europe","17,426"
"United Kingdom *","Northern Europe","Europe","15,972"
"France","Western Europe","Europe","15,727"
"India *","Southern Asia","Asia","15,365"
"Canada *","Northern America","Americas","11,263"
"Italy *","Southern Europe","Europe","11,020"
"South Korea *","Eastern Asia","Asia","9,890"
"Australia *","Australia, New Zealand","Oceania","9,720"
"Spain *","Southern Europe","Europe","8,487"
"Taiwan *","Eastern Asia","Asia","5,422"
"Netherlands *","Western Europe","Europe","4,869"
"Mexico *","Northern America","Americas","4,863"
"Switzerland *","Western Europe","Europe","4,829"
"Brazil *","South America","Americas","4,628"
"Russia *","Eastern Europe","Europe","4,386"
"Hong Kong *","Eastern Asia","Asia","3,493"
"Indonesia *","South-eastern Asia","Asia","3,256"
"Belgium *","Western Europe","Europe","3,195"
"Iran *","Southern Asia","Asia","3,034"
"Sweden *","Northern Europe","Europe","2,335"
"Saudi Arabia *","Western Asia","Asia","2,268"
"Singapore *","South-eastern Asia","Asia","1,906"
"Denmark *","Northern Europe","Europe","1,869"
"Austria *","Western Europe","Europe","1,794"
"Norway *","Northern Europe","Europe","1,644"
"Poland *","Eastern Europe","Europe","1,592"
"New Zealand *","Australia, New Zealand","Oceania","1,426"
"Thailand *","South-eastern Asia","Asia","1,421"
"Israel *","Western Asia","Asia","1,368"
"Portugal *","Southern Europe","Europe","1,324"
"Egypt *","Northern Africa","Africa","1,249"
"United Arab Emirates *","Western Asia","Asia","1,242"
"Bangladesh *","Southern Asia","Asia","1,079"
"Turkey *","Western Asia","Asia","1,041"
"Vietnam *","South-eastern Asia","Asia","1,017"
"Philippines *","South-eastern Asia","Asia","1,011"
"South Africa *","Southern Africa","Africa","926"
"Ireland *","Northern Europe","Europe","913"
"Greece *","Southern Europe","Europe","890"
"Finland *","Northern Europe","Europe","792"
"Chile *","South America","Americas","779"
"Czech Republic *","Eastern Europe","Europe","770"
"Kazakhstan *","Central Asia","Asia","720"
"Nigeria *","West Africa","Africa","699"
"Ukraine *","Eastern Europe","Europe","679"
"Pakistan *","Southern Asia","Asia","678"
"Malaysia *","South-eastern Asia","Asia","678"
"Romania *","Eastern Europe","Europe","667"
"Palestine *","Western Asia","Asia","575"
"Colombia *","South America","Americas","564"
"Kuwait *","Western Asia","Asia","564"
"Peru *","South America","Americas","519"
"Hungary *","Eastern Europe","Europe","458"
"Kenya *","Eastern Africa","Africa","435"
"Argentina *","South America","Americas","420"
"Qatar *","Western Asia","Asia","407"
"Sri Lanka *","Southern Asia","Asia","359"
"Algeria *","Northern Africa","Africa","354"
"Morocco *","Northern Africa","Africa","347"
"Lebanon *","Western Asia","Asia","345"
"Ethiopia *","Eastern Africa","Africa","300"
"Luxembourg *","Western Europe","Europe","299"
"Myanmar *","South-eastern Asia","Asia","283"
"Slovakia *","Eastern Europe","Europe","270"
"Bulgaria *","Eastern Europe","Europe","258"
"Belarus *","Eastern Europe","Europe","255"
"Ecuador *","South America","Americas","255"
"Jordan *","Western Asia","Asia","235"
"Croatia *","Southern Europe","Europe","230"
"Uruguay *","South America","Americas","217"
"Costa Rica *","Central America","Americas","211"
"Oman *","Western Asia","Asia","189"
"Slovenia *","Southern Europe","Europe","188"
"Serbia *","Southern Europe","Europe","186"
"Tunisia *","Northern Africa","Africa","177"
"Azerbaijan *","Western Asia","Asia","157"
"Panama *","Central America","Americas","150"
